NOMBRE,TIPO,AÑO,MES,AUTOS,MOTOS,AUTOBUS DE 2 EJES,AUTOBUS DE 3 EJES,AUTOBUS DE 4 EJES,CAMIONES DE 2 EJES,CAMIONES DE 3 EJES,CAMIONES DE 4 EJES,CAMIONES DE 5 EJES,CAMIONES DE 6 EJES,CAMIONES DE 7 EJES,CAMIONES DE 8 EJES,CAMIONES DE 9 EJES,TRICICLOS,TOTAL,EJE EXTRA AUTOBUS,EJE EXTRA CAMION,PEATONES
Cuauhtemoc-Osiris ,CAMINO,2022,JULIO,153990,635,5096,7958,4502,13570,9947,3286,58234,11879,1525,127,24558,0,295307,2778,0,0
Culiacán,PUENTE NACIONAL,2022,JULIO,247466,3011,6485,1548,272,7448,3202,562,6596,1611,4,4,565,0,278774,2547,0,0
Sinaloa,PUENTE NACIONAL,2022,JULIO,278453,2278,12201,7850,2991,16097,7776,3649,58895,7467,1028,94,16834,0,415613,3939,9,0
Pánuco,PUENTE NACIONAL,2022,JULIO,136869,7837,8225,1852,9,4334,1331,235,2650,1888,17,6,1034,0,166287,977,7,0
Alvarado,PUENTE NACIONAL,2022,JULIO,123981,11081,7273,2472,161,4417,2759,224,2856,1117,3,0,253,0,156597,845,3,0
Papaloapan,PUENTE NACIONAL,2022,JULIO,46110,10632,2762,1183,3,3925,3003,113,1996,328,6,7,474,0,70542,523,16,0
Caracol,PUENTE NACIONAL,2022,JULIO,141619,21866,10386,4254,0,6184,2669,518,5286,889,37,108,10554,0,204370,496,13,0
Nautla,PUENTE NACIONAL,2022,JULIO,73782,4673,4025,1263,453,4704,3180,487,6828,1554,41,9,2142,0,103141,999,1,0
Grijalva,PUENTE NACIONAL,2022,JULIO,389455,17721,12236,6409,547,13739,5578,1493,19734,8857,474,101,13355,0,489699,3076,10,0
Usumacinta,PUENTE NACIONAL,2022,JULIO,95775,11429,3953,2675,92,5619,4695,716,14068,3494,406,69,10240,0,153231,1278,18,0
Cadereyta,PUENTE NACIONAL,2022,JULIO,123880,3145,226,777,6,9675,2825,920,10810,3824,200,263,6054,0,162605,781,26,0
La Piedad,PUENTE NACIONAL,2022,JULIO,70088,1682,3694,2190,1109,8265,6388,772,14779,2287,55,15,602,0,111926,575,0,0
Tecolutla,PUENTE NACIONAL,2022,JULIO,97899,13814,4659,1313,436,4586,2761,401,6726,1754,29,13,1886,0,136277,650,2,0
San Juan,PUENTE NACIONAL,2022,JULIO,56686,175,488,532,139,3424,1207,291,5527,1095,54,97,9515,0,79230,1154,1087,0
Tampico,PUENTE NACIONAL,2022,JULIO,270110,3451,7736,3088,1662,5839,1564,251,1057,282,25,3,1034,0,296102,1130,0,0
Tlacotalpan,PUENTE NACIONAL,2022,JULIO,39388,4919,1261,484,2,770,401,42,154,34,0,1,31,0,47487,492,0,0
Dovalí Jaime,PUENTE NACIONAL,2022,JULIO,221010,5287,6813,13019,1724,22468,14233,3954,82312,15127,1367,543,44647,0,432504,2053,24,0
Dovalí Jaime Bis,PUENTE NACIONAL,2022,JULIO,17517,1510,138,3,0,608,94,11,57,79,2,0,11,0,20030,27,0,0
Refineria Lazaro Cárdenas,PUENTE NACIONAL,2022,JULIO,2024,32,78,14,0,126,123,20,96,36,3,2,57,0,2611,27,0,0
Matamoros,PÚENTE INTERNACIONAL,2022,JULIO,96659,250,0,0,0,80,3,1,0,0,0,0,0,0,96993,163,0,97101
Camargo,PÚENTE INTERNACIONAL,2022,JULIO,28981,64,0,4,0,117,51,2,1811,14,14,6,2163,0,33227,349,0,1691
Miguel Alemán,PÚENTE INTERNACIONAL,2022,JULIO,46855,53,8,56,1,67,75,36,2628,16,1,1,0,0,49797,281,0,10466
Reynosa,PÚENTE INTERNACIONAL,2022,JULIO,126644,269,328,564,154,65,13,6,0,0,0,0,3,0,128046,378,3,129885
   Línea Express,PÚENTE INTERNACIONAL,2022,JULIO,60120,0,0,0,0,0,0,0,0,0,0,0,0,0,60120,0,0,0
Las Flores,PÚENTE INTERNACIONAL,2022,JULIO,44919,43,0,1,0,74,129,45,652,547,41,24,1981,0,48456,117,69,97055
Ojinaga,PÚENTE INTERNACIONAL,2022,JULIO,55207,16,18,95,1,685,119,183,504,8,1,46,42,0,56925,1282,0,6121
Rodolfo Robles,PÚENTE INTERNACIONAL,2022,JULIO,6508,34253,61,132,0,18,1,0,0,0,0,0,0,8333,49306,6,0,34603
Piedras Negras,PÚENTE INTERNACIONAL,2022,JULIO,108167,122,0,0,0,214,2,2,0,0,0,0,0,0,108507,267,0,32284
Acuña,PÚENTE INTERNACIONAL,2022,JULIO,123747,430,0,709,0,1577,230,175,3832,45,45,0,0,0,130790,877,0,6338
Laredo,PÚENTE INTERNACIONAL,2022,JULIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,191709
   Línea Express,PÚENTE INTERNACIONAL,2022,JULIO,101511,0,0,0,0,0,0,0,0,0,0,0,0,0,101511,0,0,0
Juárez-Lincoln,PÚENTE INTERNACIONAL,2022,JULIO,238812,1399,22,1985,866,332,10,40,2,0,0,0,2,0,243470,1688,2,0
Suchiate II,PÚENTE INTERNACIONAL,2022,JULIO,945,1,96,1,0,738,777,72,10920,1738,24,0,44,0,15356,17,101,0
Chapalilla - Compostela ,CAMINO,2022,AGOSTO,184390,2604,10551,2752,0,6858,5948,573,7532,3774,56,7,884,0,225929,1089,0,0
Cuauhtemoc-Osiris ,CAMINO,2022,AGOSTO,151366,1514,5264,6914,0,14888,15565,3755,60736,12491,1496,131,25286,0,299406,2608,4,0
Culiacán,PUENTE NACIONAL,2022,AGOSTO,237543,3190,6505,602,31,7234,3988,449,6515,1603,5,3,611,0,268279,2771,0,0
Sinaloa,PUENTE NACIONAL,2022,AGOSTO,270128,3174,12134,4840,20,16368,12069,3537,59638,7702,880,73,16466,0,407029,3628,14,0
Pánuco,PUENTE NACIONAL,2022,AGOSTO,140416,8516,8502,161,23,5099,2383,286,2600,1979,26,7,1059,0,171057,848,4,0
Alvarado,PUENTE NACIONAL,2022,AGOSTO,128349,10773,7234,483,6,5378,3851,192,2761,1308,3,3,416,0,160757,799,1,0
Papaloapan,PUENTE NACIONAL,2022,AGOSTO,45954,9685,2658,82,3,4686,3565,134,1918,307,2,1,550,0,69545,525,5,0
Caracol,PUENTE NACIONAL,2022,AGOSTO,147525,22124,10822,252,0,8164,5038,496,4870,933,42,100,10597,0,210963,526,5,0
Nautla,PUENTE NACIONAL,2022,AGOSTO,79594,4565,4478,762,1,5088,3768,472,6760,1349,35,13,1926,0,108811,1193,1,0
Grijalva,PUENTE NACIONAL,2022,AGOSTO,403350,18820,13564,1925,36,16071,10043,1588,20795,9499,394,81,13202,0,509368,3060,68,0
Usumacinta,PUENTE NACIONAL,2022,AGOSTO,100733,11378,4701,1114,4,5249,6888,830,14845,4095,361,50,10200,0,160448,1282,67,0
Cadereyta,PUENTE NACIONAL,2022,AGOSTO,122563,3299,273,41,0,8578,5121,1045,11332,4507,214,287,5392,0,162652,728,28,0
La Piedad,PUENTE NACIONAL,2022,AGOSTO,64897,1794,3731,1454,1,8422,8505,779,14320,2138,56,12,569,0,106678,451,0,0
Tecolutla,PUENTE NACIONAL,2022,AGOSTO,101714,13885,5192,851,9,4856,3745,449,6688,1539,34,13,1784,0,140759,661,1,0
San Juan,PUENTE NACIONAL,2022,AGOSTO,53948,202,547,160,0,3297,1870,288,5704,1135,53,112,10113,0,77429,1171,1118,0
Tampico,PUENTE NACIONAL,2022,AGOSTO,263097,2921,8011,2586,0,7004,3355,257,1215,303,25,2,1056,0,289832,970,0,0
Tlacotalpan,PUENTE NACIONAL,2022,AGOSTO,40073,4919,1146,51,0,1213,509,68,191,36,0,0,31,0,48237,336,0,0
Dovalí Jaime,PUENTE NACIONAL,2022,AGOSTO,234617,5215,7207,3785,25,23277,25913,4270,82754,14677,1286,551,43824,0,447401,2017,52,0
Dovalí Jaime Bis,PUENTE NACIONAL,2022,AGOSTO,20963,1713,139,2,0,902,190,11,68,70,0,0,13,0,24071,55,0,0
Refineria Lazaro Cárdenas,PUENTE NACIONAL,2022,AGOSTO,2963,26,80,12,0,162,161,21,116,38,3,2,101,0,3685,24,0,0
Matamoros,PÚENTE INTERNACIONAL,2022,AGOSTO,98925,246,0,0,0,81,2,5,0,0,0,0,0,0,99259,161,0,104990
Camargo,PÚENTE INTERNACIONAL,2022,AGOSTO,29721,93,0,0,0,74,123,4,1819,16,4,5,2336,0,34195,294,0,2771
Miguel Alemán,PÚENTE INTERNACIONAL,2022,AGOSTO,49217,39,8,25,1,110,114,38,2816,12,1,0,0,0,52381,222,0,15015
Reynosa,PÚENTE INTERNACIONAL,2022,AGOSTO,148848,304,327,663,2,93,9,11,0,0,0,0,0,0,150257,442,0,140797
   Línea Express,PÚENTE INTERNACIONAL,2022,AGOSTO,67788,0,0,0,0,0,0,0,0,0,0,0,0,0,67788,0,0,0
Las Flores,PÚENTE INTERNACIONAL,2022,AGOSTO,43881,38,0,0,0,61,129,52,727,511,37,9,2041,0,47486,140,35,79399
Ojinaga,PÚENTE INTERNACIONAL,2022,AGOSTO,53170,46,15,96,0,630,135,180,582,12,0,50,51,0,54967,1336,0,4335
Rodolfo Robles,PÚENTE INTERNACIONAL,2022,AGOSTO,6113,34983,66,73,0,30,0,0,0,0,0,0,0,8233,49498,4,0,34009
Piedras Negras,PÚENTE INTERNACIONAL,2022,AGOSTO,105697,161,1,0,0,203,2,3,2,0,0,0,0,0,106069,220,0,31731
Acuña,PÚENTE INTERNACIONAL,2022,AGOSTO,126113,385,0,0,1,1706,1015,166,4238,43,33,0,0,0,133700,873,0,6534
Laredo,PÚENTE INTERNACIONAL,2022,AGOSTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201399
   Línea Express,PÚENTE INTERNACIONAL,2022,AGOSTO,111899,0,0,0,0,0,0,0,0,0,0,0,0,0,111899,0,0,0
Juárez-Lincoln,PÚENTE INTERNACIONAL,2022,AGOSTO,242377,1504,19,2625,0,350,11,48,1,0,0,0,1,0,246936,1635,1,0
Suchiate II,PÚENTE INTERNACIONAL,2022,AGOSTO,986,0,72,3,0,804,919,84,11374,1920,26,5,72,0,16265,41,214,0
Chapalilla - Compostela ,CAMINO,2022,SEPTIEMBRE,138276,2753,10023,2875,0,6517,5624,597,7339,3215,63,5,951,0,178238,1265,1,0
Cuauhtemoc-Osiris ,CAMINO,2022,SEPTIEMBRE,117937,679,4212,5872,0,12831,11844,3618,55195,10195,1549,124,22391,0,246447,2195,1,0
Culiacán,PUENTE NACIONAL,2022,SEPTIEMBRE,225404,3271,6603,556,17,7493,3801,522,6920,1772,2,1,584,0,256946,2741,0,0
Sinaloa,PUENTE NACIONAL,2022,SEPTIEMBRE,237120,2901,11720,4271,12,15691,11904,3544,58581,7723,1087,78,16641,0,371273,3773,14,0
Pánuco,PUENTE NACIONAL,2022,SEPTIEMBRE,122903,7566,7771,80,4,5003,2197,323,2547,1824,24,3,930,0,151175,793,7,0
Alvarado,PUENTE NACIONAL,2022,SEPTIEMBRE,98736,8220,6425,322,0,4963,3809,209,2654,1063,10,1,441,0,126853,745,0,0
Papaloapan,PUENTE NACIONAL,2022,SEPTIEMBRE,44310,10012,2607,103,11,4114,2562,127,1764,254,6,3,612,0,66485,525,4,0
Caracol,PUENTE NACIONAL,2022,SEPTIEMBRE,131334,19533,10588,203,1,7772,4777,442,4785,689,56,80,10091,0,190351,421,1,0
Nautla,PUENTE NACIONAL,2022,SEPTIEMBRE,64912,4547,3869,581,0,4457,3389,372,6608,1203,25,11,1646,0,91620,971,0,0
Grijalva,PUENTE NACIONAL,2022,SEPTIEMBRE,372835,17520,11788,1440,24,16341,9824,1424,19145,8562,400,72,12406,0,471781,3130,89,0
Usumacinta,PUENTE NACIONAL,2022,SEPTIEMBRE,81221,10320,3065,738,5,5302,6810,774,13733,3294,412,35,9571,0,135280,1262,13,0
Cadereyta,PUENTE NACIONAL,2022,SEPTIEMBRE,117661,3556,234,46,1,8637,5074,1223,10567,4055,255,330,4595,0,156234,707,29,0
La Piedad,PUENTE NACIONAL,2022,SEPTIEMBRE,64600,1709,3990,1060,1,7263,6295,527,8337,1181,17,4,252,0,95236,579,0,0
Tecolutla,PUENTE NACIONAL,2022,SEPTIEMBRE,81963,14194,4366,620,5,4348,3096,342,6416,1245,14,7,1527,0,118143,491,0,0
San Juan,PUENTE NACIONAL,2022,SEPTIEMBRE,51962,152,713,143,0,3004,1862,227,5493,1072,60,108,8080,0,72876,1173,990,0
Tampico,PUENTE NACIONAL,2022,SEPTIEMBRE,208696,3642,6866,2047,1,6448,2912,208,1236,285,33,3,1106,0,233483,874,10,0
Tlacotalpan,PUENTE NACIONAL,2022,SEPTIEMBRE,32125,3988,1072,4,1,1125,445,54,189,31,1,0,28,0,39063,544,0,0
Dovalí Jaime,PUENTE NACIONAL,2022,SEPTIEMBRE,191838,4605,6900,3718,20,21163,23836,3797,79080,13457,1249,526,40546,0,390735,1711,48,0
Dovalí Jaime Bis,PUENTE NACIONAL,2022,SEPTIEMBRE,17134,1508,154,0,0,727,146,3,54,96,3,0,7,0,19832,21,0,0
Refineria Lazaro Cárdenas,PUENTE NACIONAL,2022,SEPTIEMBRE,3547,101,80,11,0,129,143,6,110,28,1,5,77,0,4238,15,0,0
Matamoros,PÚENTE INTERNACIONAL,2022,SEPTIEMBRE,96655,281,0,0,0,65,4,2,0,0,0,0,0,0,97007,121,0,114397
Camargo,PÚENTE INTERNACIONAL,2022,SEPTIEMBRE,31324,71,0,0,0,83,122,6,1743,6,10,3,1837,0,35205,294,0,3309
Miguel Alemán,PÚENTE INTERNACIONAL,2022,SEPTIEMBRE,52530,47,8,23,1,113,96,36,2681,16,2,0,0,0,55553,221,0,18986
Reynosa,PÚENTE INTERNACIONAL,2022,SEPTIEMBRE,142511,290,234,707,2,85,13,7,1,0,0,0,0,0,143850,447,0,140331
   Línea Express,PÚENTE INTERNACIONAL,2022,SEPTIEMBRE,69275,0,0,0,0,0,0,0,0,0,0,0,0,0,69275,0,0,0
Las Flores,PÚENTE INTERNACIONAL,2022,SEPTIEMBRE,44465,35,0,0,0,74,119,38,709,444,26,28,1619,0,47557,136,10,87900
Ojinaga,PÚENTE INTERNACIONAL,2022,SEPTIEMBRE,50478,30,8,85,2,741,94,183,527,41,11,33,37,0,52270,1100,0,4798
Rodolfo Robles,PÚENTE INTERNACIONAL,2022,SEPTIEMBRE,5731,33715,37,51,0,80,3,0,0,0,0,0,0,8332,47949,1,0,32536
Piedras Negras,PÚENTE INTERNACIONAL,2022,SEPTIEMBRE,107807,188,2,0,0,211,0,3,0,0,0,0,0,0,108211,175,0,33478
Acuña,PÚENTE INTERNACIONAL,2022,SEPTIEMBRE,123947,414,1,0,0,1634,862,167,4064,34,28,0,0,0,131151,867,0,6753
Laredo,PÚENTE INTERNACIONAL,2022,SEPTIEMBRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199824
   Línea Express,PÚENTE INTERNACIONAL,2022,SEPTIEMBRE,115448,0,0,0,0,0,0,0,0,0,0,0,0,0,115448,0,0,0
Juárez-Lincoln,PÚENTE INTERNACIONAL,2022,SEPTIEMBRE,239455,1447,9,2152,0,325,7,44,2,0,0,0,1,0,243442,1403,0,0
Suchiate II,PÚENTE INTERNACIONAL,2022,SEPTIEMBRE,1098,0,130,5,1,897,901,52,10229,1557,22,0,255,0,15147,32,170,0
Chapalilla - Compostela ,CAMINO,2022,OCTUBRE,131075,2953,11150,3547,0,6789,5544,580,7414,3294,67,8,850,0,173271,853,1,0
Cuauhtemoc-Osiris ,CAMINO,2022,OCTUBRE,128376,982,4454,6094,0,13729,11609,3381,59668,12038,1477,150,24742,0,266700,2752,1,0
Culiacán,PUENTE NACIONAL,2022,OCTUBRE,251858,3670,6742,551,12,8316,4855,576,7368,1555,5,4,555,0,286067,3227,0,0
Sinaloa,PUENTE NACIONAL,2022,OCTUBRE,252712,2612,12162,4558,24,17360,13432,3736,63243,7785,1073,80,17647,0,396424,3786,17,0
Pánuco,PUENTE NACIONAL,2022,OCTUBRE,131831,8904,8134,83,6,5083,2559,364,2771,1781,15,5,1010,0,162546,896,2,0
Alvarado,PUENTE NACIONAL,2022,OCTUBRE,106951,10025,6632,350,1,5247,3544,197,2513,1052,3,2,339,0,136856,1091,0,0
Papaloapan,PUENTE NACIONAL,2022,OCTUBRE,42028,9691,2881,108,14,4321,3289,146,2093,284,6,5,574,0,65440,713,5,0
Caracol,PUENTE NACIONAL,2022,OCTUBRE,140974,21739,10995,197,0,7718,4789,478,5039,690,53,73,11156,0,203901,513,6,0
Nautla,PUENTE NACIONAL,2022,OCTUBRE,62649,4053,3864,586,4,4631,3624,366,6867,1236,13,16,1890,0,89799,946,3,0
Grijalva,PUENTE NACIONAL,2022,OCTUBRE,398666,18785,11854,1485,27,17229,11502,1531,21436,9468,379,85,13366,0,505813,3129,53,0
Usumacinta,PUENTE NACIONAL,2022,OCTUBRE,85276,10426,3267,827,7,5454,7858,815,15325,3873,430,54,10889,0,144501,1230,0,0
Cadereyta,PUENTE NACIONAL,2022,OCTUBRE,124688,3513,334,28,0,8812,4891,1342,10788,4389,217,362,4915,0,164279,653,20,0
La Piedad,PUENTE NACIONAL,2022,OCTUBRE,69155,1808,3972,929,0,7425,6750,543,9462,1359,28,3,237,0,101671,561,0,0
Tecolutla,PUENTE NACIONAL,2022,OCTUBRE,78870,13126,4472,648,8,4789,3235,320,6642,1278,13,8,1659,0,115068,506,0,0
San Juan,PUENTE NACIONAL,2022,OCTUBRE,53738,191,732,152,0,3089,1683,314,5564,1102,73,92,7712,0,74442,1280,868,0
Tampico,PUENTE NACIONAL,2022,OCTUBRE,221201,5258,6759,2046,0,6611,3236,242,1326,302,28,3,1193,0,248205,906,3,0
Tlacotalpan,PUENTE NACIONAL,2022,OCTUBRE,35217,5410,1127,15,0,1197,417,62,170,33,0,0,22,0,43670,438,0,0
Dovalí Jaime,PUENTE NACIONAL,2022,OCTUBRE,194023,5314,6842,3752,12,22211,25929,4083,85432,14713,1295,508,43728,0,407842,1933,47,0
Dovalí Jaime Bis,PUENTE NACIONAL,2022,OCTUBRE,16365,1481,130,1,0,707,110,10,135,57,1,0,6,0,19003,9,0,0
Refineria Lazaro Cárdenas,PUENTE NACIONAL,2022,OCTUBRE,4476,137,76,17,1,176,122,9,107,47,2,6,117,0,5293,20,2,0
Matamoros,PÚENTE INTERNACIONAL,2022,OCTUBRE,97137,257,0,0,0,69,2,4,0,0,0,0,0,0,97469,122,0,139807
Camargo,PÚENTE INTERNACIONAL,2022,OCTUBRE,32451,45,0,0,0,68,106,3,1835,8,6,2,1524,0,36048,323,0,3471
Miguel Alemán,PÚENTE INTERNACIONAL,2022,OCTUBRE,54583,50,8,51,0,93,98,43,2739,15,2,0,0,0,57682,248,0,18855
Reynosa,PÚENTE INTERNACIONAL,2022,OCTUBRE,143533,332,240,796,0,97,16,14,0,0,0,0,0,0,145028,513,0,160267
   Línea Express,PÚENTE INTERNACIONAL,2022,OCTUBRE,70800,0,0,0,0,0,0,0,0,0,0,0,0,0,70800,0,0,0
Las Flores,PÚENTE INTERNACIONAL,2022,OCTUBRE,45700,61,0,0,0,77,113,40,1023,551,26,19,1736,0,49346,121,27,93090
Ojinaga,PÚENTE INTERNACIONAL,2022,OCTUBRE,53616,76,10,90,1,768,145,196,700,23,62,39,9,0,55735,1117,0,4079
Rodolfo Robles,PÚENTE INTERNACIONAL,2022,OCTUBRE,6161,36456,56,111,0,18,0,0,0,0,0,0,0,8403,51205,4,0,37600
Piedras Negras,PÚENTE INTERNACIONAL,2022,OCTUBRE,109955,157,1,0,0,195,1,2,0,0,0,0,0,0,110311,176,0,42021
Acuña,PÚENTE INTERNACIONAL,2022,OCTUBRE,131861,466,0,0,1,1821,806,157,3990,42,27,0,0,0,139171,980,0,7750
Laredo,PÚENTE INTERNACIONAL,2022,OCTUBRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219777
   Línea Express,PÚENTE INTERNACIONAL,2022,OCTUBRE,117109,0,0,0,0,0,0,0,0,0,0,0,0,0,117109,0,0,0
Juárez-Lincoln,PÚENTE INTERNACIONAL,2022,OCTUBRE,237996,1507,22,2284,0,331,13,61,0,0,0,0,1,0,242215,1535,1,0
Suchiate II,PÚENTE INTERNACIONAL,2022,OCTUBRE,1300,0,111,17,0,1038,778,416,10282,1781,61,0,187,0,15971,42,118,0
Chapalilla - Compostela ,CAMINO,2022,NOVIEMBRE,134194,2440,10685,3229,0,7212,5747,607,7732,2958,70,8,1063,0,175945,925,0,0
Cuauhtemoc-Osiris ,CAMINO,2022,NOVIEMBRE,137597,748,5348,7300,0,14097,12076,3393,58500,11305,1570,168,22973,0,275075,2404,2,0
Culiacán,PUENTE NACIONAL,2022,NOVIEMBRE,249342,3507,6867,545,26,8267,4652,641,7322,1546,3,2,578,0,283298,2584,0,0
Sinaloa,PUENTE NACIONAL,2022,NOVIEMBRE,258187,2539,12886,4812,9,17372,13437,3206,62467,6797,1037,72,17798,0,400619,4158,20,0
Pánuco,PUENTE NACIONAL,2022,NOVIEMBRE,132149,7090,7874,143,6,5211,2399,274,2615,1610,14,8,1390,0,160783,831,55,0
Alvarado,PUENTE NACIONAL,2022,NOVIEMBRE,108180,8930,6884,389,4,5046,4111,241,2516,1053,2,4,188,0,137548,838,2,0
Papaloapan,PUENTE NACIONAL,2022,NOVIEMBRE,41300,9697,2796,71,15,4381,3362,121,2113,253,5,4,538,0,64656,1481,71,0
Caracol,PUENTE NACIONAL,2022,NOVIEMBRE,141537,21516,10823,207,0,7822,4909,492,5104,832,85,100,10522,0,203949,613,185,0
Nautla,PUENTE NACIONAL,2022,NOVIEMBRE,61550,3634,3848,577,3,4622,3514,385,6179,1066,18,18,1835,0,87249,904,1,0
Grijalva,PUENTE NACIONAL,2022,NOVIEMBRE,391537,17991,11501,1634,24,17125,12183,1449,21945,9304,508,80,13838,0,499119,2923,72,0
Usumacinta,PUENTE NACIONAL,2022,NOVIEMBRE,86921,10337,3386,813,4,5639,7596,768,16346,4205,513,54,11399,0,147981,1157,5,0
Cadereyta,PUENTE NACIONAL,2022,NOVIEMBRE,121246,3049,315,33,0,8617,5724,1352,10111,4058,231,445,4504,0,159685,657,33,0
La Piedad,PUENTE NACIONAL,2022,NOVIEMBRE,72905,1911,3917,954,2,7831,6847,581,9276,1501,17,1,268,0,106011,515,0,0
Tecolutla,PUENTE NACIONAL,2022,NOVIEMBRE,78922,12636,4378,613,1,4745,3543,345,5988,1130,19,13,1676,0,114009,507,0,0
San Juan,PUENTE NACIONAL,2022,NOVIEMBRE,50588,141,727,139,0,2808,1577,207,5397,684,29,57,7699,0,70053,987,651,0
Tampico,PUENTE NACIONAL,2022,NOVIEMBRE,234327,3181,6624,2057,0,6534,3333,241,1580,280,4,3,1077,0,259241,1079,0,0
Tlacotalpan,PUENTE NACIONAL,2022,NOVIEMBRE,34983,4742,1321,14,1,1275,607,53,149,75,0,0,23,0,43243,476,0,0
Dovalí Jaime,PUENTE NACIONAL,2022,NOVIEMBRE,181279,5142,7448,4012,20,21080,25011,4069,82825,14179,1332,500,43463,0,390360,1854,39,0
Dovalí Jaime Bis,PUENTE NACIONAL,2022,NOVIEMBRE,14336,1389,96,1,0,611,151,12,433,70,1,0,0,0,17100,22,0,0
Refineria Lazaro Cárdenas,PUENTE NACIONAL,2022,NOVIEMBRE,3975,51,62,3,0,231,167,10,156,59,0,20,730,0,5464,13,0,0
Matamoros,PÚENTE INTERNACIONAL,2022,NOVIEMBRE,93389,168,0,0,0,61,1,5,0,0,0,0,0,0,93624,162,0,127633
Camargo,PÚENTE INTERNACIONAL,2022,NOVIEMBRE,32354,36,0,0,0,40,121,2,1650,12,9,4,2021,0,36249,299,0,3033
Miguel Alemán,PÚENTE INTERNACIONAL,2022,NOVIEMBRE,53222,47,14,38,0,108,109,36,2881,7,0,0,0,0,56462,246,0,16360
Reynosa,PÚENTE INTERNACIONAL,2022,NOVIEMBRE,140930,243,194,794,1,93,29,9,0,0,0,0,0,0,142293,690,0,153803
   Línea Express,PÚENTE INTERNACIONAL,2022,NOVIEMBRE,62791,0,0,0,0,0,0,0,0,0,0,0,0,0,62791,0,0,0
Las Flores,PÚENTE INTERNACIONAL,2022,NOVIEMBRE,45668,29,0,0,0,65,109,31,1155,395,8,14,1329,0,48803,145,45,85942
Ojinaga,PÚENTE INTERNACIONAL,2022,NOVIEMBRE,53791,27,22,92,2,772,146,223,775,54,21,43,2,0,55970,1157,0,4786
Rodolfo Robles,PÚENTE INTERNACIONAL,2022,NOVIEMBRE,6897,38030,70,99,0,14,0,1,0,0,0,0,0,7884,52995,1,0,34601
Piedras Negras,PÚENTE INTERNACIONAL,2022,NOVIEMBRE,96188,82,0,0,0,146,0,7,1,0,0,0,0,0,96424,194,0,47414
Acuña,PÚENTE INTERNACIONAL,2022,NOVIEMBRE,129724,352,0,3,0,1735,843,177,3957,29,26,0,0,0,136846,985,0,6487
Laredo,PÚENTE INTERNACIONAL,2022,NOVIEMBRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210495
   Línea Express,PÚENTE INTERNACIONAL,2022,NOVIEMBRE,101197,0,0,0,0,0,0,0,0,0,0,0,0,0,101197,0,0,0
Juárez-Lincoln,PÚENTE INTERNACIONAL,2022,NOVIEMBRE,232832,1214,18,2404,0,394,16,60,0,0,0,0,0,0,236938,1784,0,0
Suchiate II,PÚENTE INTERNACIONAL,2022,NOVIEMBRE,1296,0,167,6,0,816,801,70,8351,1351,18,0,51,0,12927,34,159,0
Chapalilla - Compostela ,CAMINO,2022,DICIEMBRE,164825,2100,10976,2994,0,7301,6034,625,8269,3021,95,11,2237,0,208488,867,1,0
Cuauhtemoc-Osiris ,CAMINO,2022,DICIEMBRE,169807,588,5823,8096,0,14048,11377,3498,54584,10664,1942,169,23787,0,304383,3195,2,0
Culiacán,PUENTE NACIONAL,2022,DICIEMBRE,283450,3452,7424,707,14,8758,4452,481,7465,1344,2,0,657,0,318206,2690,0,0
Sinaloa,PUENTE NACIONAL,2022,DICIEMBRE,341776,2101,15665,5473,16,17803,13804,3440,63822,6582,1114,84,19984,0,491664,5274,10,0
Pánuco,PUENTE NACIONAL,2022,DICIEMBRE,155452,7303,9041,360,1,5595,2839,315,3142,1845,26,11,1910,0,187840,1206,66,0
Alvarado,PUENTE NACIONAL,2022,DICIEMBRE,140981,9467,8043,636,1,5062,5906,267,2979,1308,10,4,347,0,175011,885,0,0
Papaloapan,PUENTE NACIONAL,2022,DICIEMBRE,54659,11134,3152,178,7,4124,3816,131,2598,541,2,4,708,0,81054,5691,469,0
Caracol,PUENTE NACIONAL,2022,DICIEMBRE,167666,24513,11872,363,2,8429,5629,622,5688,1062,72,105,10896,0,236919,1955,918,0
Nautla,PUENTE NACIONAL,2022,DICIEMBRE,75444,4136,4805,464,1,5013,3546,349,6274,1092,22,18,1821,0,102985,1000,1,0
Grijalva,PUENTE NACIONAL,2022,DICIEMBRE,455370,20245,12813,2289,29,17965,12712,1603,22002,9890,476,74,14789,0,570257,3332,77,0
Usumacinta,PUENTE NACIONAL,2022,DICIEMBRE,105773,11848,4955,1299,8,5638,8469,907,16265,4404,551,55,12457,0,172629,1307,45,0
Cadereyta,PUENTE NACIONAL,2022,DICIEMBRE,139817,3189,300,65,0,8489,6147,1103,10864,4687,330,377,4476,0,179844,743,29,0
La Piedad,PUENTE NACIONAL,2022,DICIEMBRE,85986,2031,4038,1025,0,7831,6204,610,8754,1464,25,5,246,0,118219,696,1,0
Tecolutla,PUENTE NACIONAL,2022,DICIEMBRE,97766,14107,5454,472,7,4983,3529,333,6033,1130,16,8,1678,0,135516,577,0,0
