NOMBRE,TIPO,AÑO,MES,AUTOS,MOTOS,AUTOBUS DE 2 EJES,AUTOBUS DE 3 EJES,AUTOBUS DE 4 EJES,CAMIONES DE 2 EJES,CAMIONES DE 3 EJES,CAMIONES DE 4 EJES,CAMIONES DE 5 EJES,CAMIONES DE 6 EJES,CAMIONES DE 7 EJES,CAMIONES DE 8 EJES,CAMIONES DE 9 EJES,TRICICLOS,TOTAL,EJE EXTRA AUTOBUS,EJE EXTRA CAMION,PEATONES
Tampico,PUENTE NACIONAL,2025,ENERO,"237,772","3,198","9,473","3,305", -   ,"5,895","3,055",231,"3,274",351,20,11,"1,685", -   ,"268,270","1,100",4, -   
Tlacotalpan,PUENTE NACIONAL,2025,ENERO,"47,567","5,250","1,648",14, -   ,"1,398","1,130",37,658,56,2, -   ,46, -   ,"57,806",767, -   , -   
Dovalí Jaime,PUENTE NACIONAL,2025,ENERO,"176,959","6,002","6,192","2,515",5,"18,982","22,800","4,149","81,416","13,198","1,270",457,"46,151", -   ,"380,096","1,608",27, -   
Dovalí Jaime Bis,PUENTE NACIONAL,2025,ENERO,"18,013","2,072",32,2,1,503,85,31,"1,045",15,1, -   ,225, -   ,"22,025",11, -   , -   
Refineria Lazaro Cárdenas,PUENTE NACIONAL,2025,ENERO,"2,157",35,1,1, -   ,135,96,5,99,77, -   ,17,67, -   ,"2,690",10, -   , -   
Matamoros,PÚENTE INTERNACIONAL,2025,ENERO,"92,308",246, -   , -   , -   ,73, -   ,7, -   , -   , -   , -   , -   , -   ,"92,634",251, -   ,"134,784"
Camargo,PÚENTE INTERNACIONAL,2025,ENERO,"35,766",13, -   , -   , -   ,59,165,17,869,3,12,1,"1,848", -   ,"38,753",264, -   ,"2,652"
Miguel Alemán,PÚENTE INTERNACIONAL,2025,ENERO,"58,695",63, -   ,66, -   ,116,138,23,"3,008",23,1, -   , -   , -   ,"62,133",267, -   ,"13,315"
Reynosa,PÚENTE INTERNACIONAL,2025,ENERO,"115,524",366,41,"1,006", -   ,102,10,8,1, -   , -   , -   , -   , -   ,"117,058",519, -   ,"163,705"
   Línea Express,PÚENTE INTERNACIONAL,2025,ENERO,"83,800", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"83,800", -   , -   , -   
Las Flores,PÚENTE INTERNACIONAL,2025,ENERO,"46,604",31, -   , -   , -   ,74,54,27,"1,108",443,22,14,"2,008", -   ,"50,385",136,110,"97,181"
Ojinaga,PÚENTE INTERNACIONAL,2025,ENERO,"60,646",58,22,143,1,635,160,141,667,18, -   ,25,13, -   ,"62,529","1,420",7,"3,675"
